year,model,N,IV_mean,Forecast_mean,Gap_mean,Gap_median,Corr
2011,EGARCH,3755,0.34359074332001777,0.3382160032861086,-0.005374740033909102,-0.0013140426512148,0.7841912905215258
2011,ESG-EGARCH,3186,0.35266932114459093,0.31055351903707734,-0.04211580210751357,-0.020447136971662602,0.6932073926493952
2011,ESG-EGARCH(E),3186,0.35266932114459093,0.30992571954583914,-0.042743601598751776,-0.02182391052764445,0.72236186723839
2011,ESG-EGARCH(G),3186,0.35266932114459093,0.31902078526711586,-0.03364853587747503,-0.0179463984698725,0.7029297587823564
2011,ESG-EGARCH(S),3186,0.35266932114459093,0.3154691540238722,-0.0372001671207187,-0.019345107079254,0.6843274147157132
2011,ESG-GARCH,3229,0.3520945616806029,0.31474631400281494,-0.03734824767778794,-0.0220984121268041,0.7152761321415196
2011,ESG-GARCH(E),3229,0.3520945616806029,0.3102717779571606,-0.04182278372344225,-0.0249069383642599,0.7238875818828414
2011,ESG-GARCH(G),3229,0.3520945616806029,0.3139671453582361,-0.03812741632236673,-0.0225617406697568,0.7261010873517594
2011,ESG-GARCH(S),3229,0.3520945616806029,0.319782136961564,-0.03231242471903885,-0.0206330083592142,0.7103327820313353
2011,ESG-GJR-GARCH,3229,0.3520945616806029,0.3121991037853795,-0.03989545789522334,-0.0180050479349412,0.698729705725461
2011,ESG-GJR-GARCH(E),3229,0.3520945616806029,0.31161262523171945,-0.04048193644888341,-0.0193690573385746,0.7289198680220146
2011,ESG-GJR-GARCH(G),3229,0.3520945616806029,0.3205740314984173,-0.03152053018218556,-0.0158269458291582,0.7140094651117717
2011,ESG-GJR-GARCH(S),3229,0.3520945616806029,0.31695449137949516,-0.03514007030110769,-0.0167294810321704,0.6917538001289505
2011,GARCH,3798,0.3432048772160786,0.34123503293547575,-0.0019698442806029195,-0.0047669223157192,0.7513277235320956
2011,GJR-GARCH,3798,0.3432048772160786,0.35587587350292016,0.012670996286841506,0.0015593007184787,0.7120147722074944
2012,EGARCH,4043,0.2815992531948223,0.29399594176147237,0.012396688566650075,0.0082043040229179,0.7758348665417052
2012,ESG-EGARCH,4043,0.2815992531948223,0.2817231372703005,0.00012388407547819866,0.0035235908814283,0.7827891426617176
