ticker,secid,file,option_rows,option_min,option_max,overlap_dates,overlap_rows,valid_iv_rows,valid_mid_rows,valid_forward_rows,valid_pricing_rows,calls,puts,atm_valid_rows,valid_pricing_dates,oos_dates,oos_rows
JNJ,106566,JNJ_106566_options.csv,4059573,2010-01-04,2019-06-28,2382,4057053,3343164,4056876,4056897,3343002,2028534,2028519,356103,2382,2333,29139
JNPR,106581,JNPR_106581_options.csv,3295311,2010-01-04,2019-06-28,1067,810390,709461,810390,810318,709461,405288,405102,33090,1067,756,10262
JPM,102936,JPM_102936_options.csv,592044,2017-01-03,2019-06-28,626,592044,505250,592044,591965,505250,296022,296022,51727,626,2333,33675
KEY,106674,KEY_106674_options.csv,338768,2017-01-03,2019-06-28,626,338768,265776,338768,335582,265776,169384,169384,15029,626,2333,33675
KHC,207608,KHC_207608_options.csv,929457,2015-07-07,2019-06-28,745,672249,553023,672249,645903,553023,336123,336126,33687,745,727,8265
KIM,106690,KIM_106690_options.csv,51148,2017-01-03,2019-06-28,626,51148,39727,51148,51142,39727,25574,25574,1474,626,2091,30045
KLAC,106595,KLAC_106595_options.csv,141955,2017-01-03,2019-06-28,626,141955,121487,141955,136666,121487,70977,70978,6458,626,2333,33543
KMB,106689,KMB_106689_options.csv,327746,2017-01-03,2019-06-28,626,327746,280372,327746,327208,280372,163873,163873,27384,626,2333,33675
KMI,146036,KMI_146036_options.csv,326409,2017-01-03,2019-06-28,626,326409,265943,326409,325196,265943,163204,163205,15534,626,1811,26109
KMX,103038,KMX_103038_options.csv,415112,2017-01-03,2019-06-28,626,415112,371495,415112,415108,371495,207556,207556,40354,626,2333,33675
KO,103125,KO_103125_options.csv,460756,2017-01-03,2019-06-28,626,460756,386673,460756,460719,386673,230378,230378,39088,626,2333,33675
KR,106744,KR_106744_options.csv,342309,2017-01-03,2019-06-28,626,342309,293671,342309,342275,293671,171154,171155,18002,626,2333,33455
KSS,106723,KSS_106723_options.csv,470284,2017-01-03,2019-06-28,626,470284,415767,470284,470089,415767,235142,235142,38703,626,2333,33323
L,107015,L_107015_options.csv,49286,2017-01-03,2019-06-28,626,49286,39759,49286,48711,39759,24643,24643,1767,626,2091,30045
LEN,106899,LEN_106899_options.csv,181282,2017-01-03,2019-06-28,626,181282,124889,181282,136049,124889,90640,90642,6709,625,2091,30045
LH,106790,LH_106790_options.csv,135441,2017-01-03,2019-06-28,626,135441,115800,135441,135363,115800,67720,67721,6866,626,2333,33675
LKQ,117833,LKQ_117833_options.csv,78752,2017-01-03,2019-06-28,626,78752,66251,78752,77047,66251,39376,39376,3273,626,2333,33675
LLY,106967,LLY_106967_options.csv,543566,2017-01-03,2019-06-28,626,543566,466960,543566,542329,466960,271783,271783,53746,626,2333,33675
LMT,107010,LMT_107010_options.csv,656855,2017-01-03,2019-06-28,626,656855,559566,656855,654799,559566,328425,328430,51980,626,2333,33675
LNC,106975,LNC_106975_options.csv,110544,2017-01-03,2019-06-28,626,110544,96335,110544,110502,96335,55271,55273,5976,626,2333,33675
LNT,101250,LNT_101250_options.csv,36912,2017-01-03,2019-06-28,626,36912,31954,36912,36591,31954,18456,18456,3326,626,2333,33675
LOW,107045,LOW_107045_options.csv,542291,2017-01-03,2019-06-28,626,542291,474432,542291,542202,474432,271146,271145,54199,626,2333,33675
LRCX,106808,LRCX_106808_options.csv,560507,2017-01-03,2019-06-28,626,560507,497395,560507,558473,497395,280251,280256,30151,626,2333,33433
LUV,110357,LUV_110357_options.csv,446159,2017-01-03,2019-06-28,626,446159,392489,446159,446064,392489,223079,223080,38473,626,2333,33631
LYB,144460,LYB_144460_options.csv,515020,2017-01-03,2019-06-28,626,515020,437886,515020,506421,437886,257510,257510,49816,626,2009,29871
MA,126938,MA_126938_options.csv,513458,2017-01-03,2019-06-28,626,513458,448847,513458,513098,448847,256728,256730,36834,626,2333,33653
MAA,107555,MAA_107555_options.csv,89935,2017-01-03,2019-06-28,626,89935,66480,89935,82936,66480,44967,44968,4005,626,1102,12306
MAC,107141,MAC_107141_options.csv,104142,2017-01-03,2019-06-28,626,104142,88566,104142,102069,88566,52073,52069,4113,626,2333,33675
MAR,107248,MAR_107248_options.csv,550132,2017-01-03,2019-06-28,626,550132,454981,550132,521776,454981,275066,275066,46725,626,2333,33675
MAS,107255,MAS_107255_options.csv,151646,2017-01-03,2019-06-28,626,151646,136753,151646,151358,136753,75823,75823,8209,626,2333,33675
MAT,107280,MAT_107280_options.csv,355044,2017-01-03,2019-06-28,626,355044,297329,355044,353306,297329,177522,177522,13382,626,2333,33675
MCD,107318,MCD_107318_options.csv,492883,2017-01-03,2019-06-28,626,492883,416272,492883,492803,416272,246441,246442,34402,626,2333,33675
MCHP,107532,MCHP_107532_options.csv,181325,2017-01-03,2019-06-28,626,181325,161648,181325,177423,161648,90660,90665,10412,626,2333,33675
MCK,107325,MCK_107325_options.csv,516368,2017-01-03,2019-06-28,626,516368,452157,516368,516339,452157,258184,258184,42170,626,2333,33543
MCO,107686,MCO_107686_options.csv,120904,2017-01-03,2019-06-28,626,120904,105486,120904,120772,105486,60453,60451,6429,626,2333,33675
