ticker,secid,file,option_rows,option_min,option_max,overlap_dates,overlap_rows,valid_iv_rows,valid_mid_rows,valid_forward_rows,valid_pricing_rows,calls,puts,atm_valid_rows,valid_pricing_dates,oos_dates,oos_rows
PPG,108645,PPG_108645_options.csv,317141,2017-01-03,2019-06-28,626,317141,275281,317141,316859,275281,158571,158570,25918,626,2333,33675
PPL,108649,PPL_108649_options.csv,2329204,2010-01-04,2019-06-28,2136,2234907,1173565,1043016,837770,693280,446289,446330,49447,2135,2091,30045
PRGO,108916,PRGO_108916_options.csv,500944,2017-01-03,2019-06-28,626,500944,435133,500944,500336,435133,250472,250472,45019,626,2333,33675
PRU,113437,PRU_113437_options.csv,177835,2017-01-03,2019-06-28,626,177835,158055,177835,177784,158055,88917,88918,8335,626,2333,33675
PSA,109286,PSA_109286_options.csv,146629,2017-01-03,2019-06-28,626,146629,123486,146629,146578,123486,73314,73315,5819,626,2333,33675
PSX,152875,PSX_152875_options.csv,523240,2017-01-03,2019-06-28,626,523240,451744,523240,523160,451744,261618,261622,55004,626,1521,19273
PVH,108970,PVH_108970_options.csv,185561,2017-01-03,2019-06-28,626,185561,168881,185561,185495,168881,92779,92782,7525,626,2333,33675
PWR,109356,PWR_109356_options.csv,124912,2017-01-03,2019-06-28,626,124912,112679,124912,124887,112679,62456,62456,7082,626,2333,33565
PYPL,207609,PYPL_207609_options.csv,546878,2017-01-03,2019-06-28,626,546878,489748,546878,546769,489748,273439,273439,49430,626,727,10795
QCOM,109348,QCOM_109348_options.csv,462648,2017-01-03,2019-06-28,626,462648,401780,462648,461991,401780,231323,231325,34658,626,2091,30045
QRVO,206043,QRVO_206043_options.csv,192124,2017-01-03,2019-06-28,626,192124,177417,192124,191698,177417,96062,96062,8810,626,1102,12306
RCL,112463,RCL_112463_options.csv,410760,2017-01-03,2019-06-28,626,410760,364044,410760,410746,364044,205379,205381,32189,626,2333,33675
REG,109542,REG_109542_options.csv,69556,2017-01-03,2019-06-28,626,69556,49693,69556,63156,49693,34778,34778,2329,626,2333,33675
REGN,109538,REGN_109538_options.csv,925622,2017-01-03,2019-06-28,626,925622,823978,925622,908746,823978,462810,462812,65380,626,2089,30015
RF,109543,RF_109543_options.csv,132772,2017-01-03,2019-06-28,626,132772,111262,132772,132430,111262,66386,66386,3924,626,2333,33675
RHI,109667,RHI_109667_options.csv,61107,2017-01-03,2019-06-28,626,61107,52350,61107,60661,52350,30553,30554,2228,626,2333,33675
RJF,109491,RJF_109491_options.csv,96084,2017-01-03,2019-06-28,626,96084,82209,96084,95568,82209,48042,48042,6664,626,2091,30045
RL,109088,RL_109088_options.csv,524823,2017-01-03,2019-06-28,626,524823,458756,524823,521146,458756,262410,262413,45897,626,2333,33675
RMD,109593,RMD_109593_options.csv,88486,2017-01-03,2019-06-28,626,88486,76515,88486,88023,76515,44244,44242,3708,626,2333,33675
ROK,109678,ROK_109678_options.csv,160598,2017-01-03,2019-06-28,626,160598,140515,160598,159446,140515,80298,80300,8335,626,2091,30045
ROP,109699,ROP_109699_options.csv,124269,2017-01-03,2019-06-28,626,124269,102163,124269,118843,102163,62135,62134,5589,626,2333,33675
ROST,109706,ROST_109706_options.csv,171436,2017-01-03,2019-06-28,626,171436,156175,171436,171323,156175,85718,85718,9334,626,2333,33433
RRC,109476,RRC_109476_options.csv,290284,2017-01-03,2019-06-28,626,290284,247217,290284,289538,247217,145142,145142,8816,626,2333,33675
RSG,109586,RSG_109586_options.csv,68520,2017-01-03,2019-06-28,626,68520,54350,68520,68116,54350,34260,34260,2411,626,2333,33653
SBAC,109777,SBAC_109777_options.csv,103439,2017-01-03,2019-06-28,626,103439,91190,103439,103420,91190,51720,51719,6014,626,2333,33675
SBUX,110472,SBUX_110472_options.csv,395168,2017-01-03,2019-06-28,626,395168,337107,395168,395030,337107,197588,197580,36158,626,2333,33675
SCHW,109965,SCHW_109965_options.csv,434212,2017-01-03,2019-06-28,626,434212,376330,434212,433640,376330,217106,217106,34937,626,2091,30045
SHW,110117,SHW_110117_options.csv,375141,2017-01-03,2019-06-28,626,375141,323096,375141,374123,323096,187571,187570,35309,626,2091,30045
SIG,110158,SIG_110158_options.csv,293672,2017-01-03,2019-06-28,626,293672,261538,293672,293605,261538,146834,146838,15058,626,2333,33653
SJM,115429,SJM_115429_options.csv,149855,2017-01-03,2019-06-28,626,149855,129950,149855,149166,129950,74928,74927,6288,626,2333,33675
SLB,109956,SLB_109956_options.csv,4715436,2010-01-04,2019-06-28,2136,4496040,3092232,3351315,4405862,2467656,1498656,1498704,236454,2136,2091,30045
SLG,109812,SLG_109812_options.csv,89690,2017-01-03,2019-06-28,626,89690,72942,89690,88330,72942,44844,44846,3800,626,2333,33675
SNA,110262,SNA_110262_options.csv,916572,2010-01-04,2019-06-28,2136,871986,625323,599182,867972,503050,290660,290664,34310,2136,2091,27093
SNPS,110700,SNPS_110700_options.csv,80544,2017-01-03,2019-06-28,626,80544,67520,80544,76552,67520,40272,40272,3786,626,2333,33675
SO,110337,SO_110337_options.csv,248284,2017-01-03,2019-06-28,626,248284,204003,248284,248215,204003,124141,124143,17957,626,2333,33675
SPG,110188,SPG_110188_options.csv,2168505,2010-01-04,2019-06-28,2382,2163501,1452202,1518788,2081023,1175486,721170,721164,64604,2381,2333,33675
SPGI,107321,SPGI_107321_options.csv,302560,2017-01-03,2019-06-28,626,302560,260696,302560,301724,260696,151279,151281,20542,626,2089,30015
SRE,110051,SRE_110051_options.csv,112973,2017-01-03,2019-06-28,626,112973,92968,112973,112684,92968,56486,56487,5261,626,2333,33675
STT,110490,STT_110490_options.csv,2073567,2010-01-04,2019-06-28,2136,1875099,1355006,1308311,1874309,1092028,625028,625038,62740,2136,2091,30045
STX,116539,STX_116539_options.csv,460522,2017-01-03,2019-06-28,626,460522,399970,460522,460453,399970,230261,230261,31477,626,2333,33675
STZ,103368,STZ_103368_options.csv,392473,2017-01-03,2019-06-28,626,392473,346118,392473,392108,346118,196236,196237,24305,626,2333,33675
SWK,110460,SWK_110460_options.csv,2294853,2010-01-04,2019-06-28,2382,2292909,1622343,1586425,2256731,1303970,764298,764308,98920,2382,2333,30723
SWKS,101281,SWKS_101281_options.csv,567363,2017-01-03,2019-06-28,626,567363,502358,567363,567208,502358,283679,283684,50573,626,2333,30705
SYF,205036,SYF_205036_options.csv,439450,2017-01-03,2019-06-28,626,439450,379679,439450,439383,379679,219725,219725,26559,626,954,14200
SYK,110578,SYK_110578_options.csv,133492,2017-01-03,2019-06-28,626,133492,117029,133492,133447,117029,66746,66746,7725,626,2333,33675
SYY,110716,SYY_110716_options.csv,249736,2017-01-03,2019-06-28,626,249736,210297,249736,249358,210297,124868,124868,26113,626,2333,33543
T,109775,T_109775_options.csv,510860,2017-01-03,2019-06-28,626,510860,395986,510860,478910,395986,255427,255433,31568,626,2091,30045
TAP,103404,TAP_103404_options.csv,485608,2017-01-03,2019-06-28,626,485608,424926,485608,485601,424926,242804,242804,51523,626,2333,33675
TDG,125971,TDG_125971_options.csv,274877,2017-01-03,2019-06-28,626,274877,242652,274877,266261,242652,137441,137436,10338,626,2091,30045
TEL,129711,TEL_129711_options.csv,77795,2017-01-03,2019-06-28,626,77795,64299,77795,77376,64299,38897,38898,3556,626,2333,33675
TGT,110810,TGT_110810_options.csv,474962,2017-01-03,2019-06-28,626,474962,414793,474962,474954,414793,237481,237481,45106,626,2333,33675
TJX,110752,TJX_110752_options.csv,153120,2017-01-03,2019-06-28,626,153120,135472,153120,153071,135472,76560,76560,8205,626,2333,33653
TMO,110991,TMO_110991_options.csv,203088,2017-01-03,2019-06-28,626,203088,180115,203088,202939,180115,101544,101544,8240,626,2333,33653
TPR,103109,TPR_103109_options.csv,385858,2017-01-03,2019-06-28,626,385858,330850,385858,384373,330850,192929,192929,28768,626,2091,30045
TRIP,151386,TRIP_151386_options.csv,3846744,2011-12-22,2019-06-28,1642,3686592,2703016,2582474,3685206,2159278,1228868,1228860,173104,1642,1605,23855
TROW,109181,TROW_109181_options.csv,259574,2017-01-03,2019-06-28,626,259574,221112,259574,259361,221112,129787,129787,25696,626,2333,33675
TRV,109869,TRV_109869_options.csv,152924,2017-01-03,2019-06-28,626,152924,131011,152924,152702,131011,76462,76462,7102,626,2333,33675
TSCO,111122,TSCO_111122_options.csv,1882995,2010-01-04,2019-06-28,2382,1881447,1358591,1313327,1879737,1090100,627150,627148,95966,2382,2333,33455
TSN,111285,TSN_111285_options.csv,419711,2017-01-03,2019-06-28,626,419711,368752,419711,419684,368752,209856,209855,40112,626,2091,30045
TSS,111107,TSS_111107_options.csv,606090,2010-01-04,2019-06-28,342,64332,40222,43507,64000,32980,21444,21444,1568,342,333,4650
TWX,101328,TWX_101328_options.csv,3435390,2010-01-04,2018-06-14,2121,3429348,2293417,2399748,3313100,1846864,1143116,1143116,197820,2120,2079,23961
TXN,110972,TXN_110972_options.csv,480053,2017-01-03,2019-06-28,626,480053,418158,480053,479703,418158,240020,240033,44507,626,2333,33675
TXT,110979,TXT_110979_options.csv,1818003,2010-01-04,2019-06-28,2382,1814547,1326407,1268353,1812293,1065476,604848,604850,54544,2382,2333,29271
UAA,125183,UAA_125183_options.csv,3730787,2010-01-04,2019-06-28,2382,3729599,2483276,2711740,3583529,1996902,1242422,1242381,153047,2381,2333,30771
UAL,125537,UAL_125537_options.csv,436249,2017-01-03,2019-06-28,626,436249,390230,436249,436153,390230,218125,218124,38799,626,2333,33675
UDR,111416,UDR_111416_options.csv,44574,2017-01-03,2019-06-28,626,44574,33793,44574,43387,33793,22287,22287,1960,626,2333,33675
UHS,111493,UHS_111493_options.csv,101486,2017-01-03,2019-06-28,626,101486,88346,101486,101394,88346,50743,50743,4684,626,2333,33675
ULTA,134685,ULTA_134685_options.csv,699860,2017-01-03,2019-06-28,626,699860,624665,699860,698804,624665,349930,349930,44125,626,2091,29605
UNH,111469,UNH_111469_options.csv,551542,2017-01-03,2019-06-28,626,551542,475532,551542,547657,475532,275768,275774,35919,626,2333,33433
UNM,111504,UNM_111504_options.csv,76963,2017-01-03,2019-06-28,626,76963,64581,76963,76025,64581,38481,38482,3717,626,2333,33675
UNP,111394,UNP_111394_options.csv,597955,2017-01-03,2019-06-28,626,597955,520818,597955,597848,520818,298978,298977,43618,626,2333,33675
UPS,111434,UPS_111434_options.csv,494797,2017-01-03,2019-06-28,626,494797,419301,494797,494721,419301,247397,247400,42170,626,2091,30045
URI,111436,URI_111436_options.csv,640959,2017-01-03,2019-06-28,626,640959,573362,640959,640356,573362,320479,320480,41369,626,1348,15996
USB,104866,USB_104866_options.csv,398583,2017-01-03,2019-06-28,626,398583,339936,398583,398533,339936,199290,199293,35258,626,2333,33675
V,135419,V_135419_options.csv,558484,2017-01-03,2019-06-28,626,558484,488809,558484,558247,488809,279235,279249,49569,626,2333,33675
VFC,111537,VFC_111537_options.csv,364276,2017-01-03,2019-06-28,626,364276,307261,364276,350826,307261,182138,182138,35875,625,2333,30723
VIAB,125237,VIAB_125237_options.csv,2949558,2010-01-04,2019-06-28,290,230919,166949,159867,153934,135858,76972,76974,7916,290,273,4095
VLO,111560,VLO_111560_options.csv,520320,2017-01-03,2019-06-28,626,520320,452271,520320,520270,452271,260159,260161,49354,626,2333,33675
VMC,111822,VMC_111822_options.csv,188864,2017-01-03,2019-06-28,626,188864,169331,188864,188854,169331,94432,94432,7416,626,2333,33675
VNO,111814,VNO_111814_options.csv,83165,2017-01-03,2019-06-28,626,83165,62053,83165,76234,62053,41582,41583,2632,625,2333,33675
VRSK,139590,VRSK_139590_options.csv,83794,2017-01-03,2019-06-28,626,83794,67597,83794,79631,67597,41897,41897,4148,626,2145,31955
VRSN,111666,VRSN_111666_options.csv,146037,2017-01-03,2019-06-28,626,146037,128559,146037,143238,128559,73019,73018,7309,626,2091,30045
VRTX,111683,VRTX_111683_options.csv,601178,2017-01-03,2019-06-28,626,601178,524373,601178,600132,524373,300593,300585,35811,626,2087,29985
VTR,111647,VTR_111647_options.csv,99235,2017-01-03,2019-06-28,626,99235,82876,99235,99069,82876,49618,49617,5232,626,2333,33675
VZ,111668,VZ_111668_options.csv,490222,2017-01-03,2019-06-28,626,490222,373841,490222,450003,373841,245123,245099,34275,626,2333,33675
WAT,111902,WAT_111902_options.csv,1095561,2010-01-04,2019-06-28,2382,1093617,784919,743782,1092583,628638,364540,364538,34506,2382,2333,33675
WBA,111861,WBA_111861_options.csv,4237005,2010-01-04,2019-06-28,1130,2883753,2044662,2101102,2882533,1636280,961250,961252,193964,1130,1108,10968
WDC,111987,WDC_111987_options.csv,586174,2017-01-03,2019-06-28,626,586174,506701,586164,569197,506694,293078,293096,47315,626,2333,33675
WEC,112087,WEC_112087_options.csv,65495,2017-01-03,2019-06-28,626,65495,51091,65495,64813,51091,32748,32747,2624,626,2333,33675
WELL,105633,WELL_105633_options.csv,130811,2017-01-03,2019-06-28,626,130811,108786,130811,130666,108786,65406,65405,6601,626,2333,33675
WFC,111953,WFC_111953_options.csv,502026,2017-01-03,2019-06-28,626,502026,427457,502025,502023,427456,251013,251013,40910,626,2333,33675
WHR,112015,WHR_112015_options.csv,517286,2017-01-03,2019-06-28,626,517286,452145,517286,517174,452145,258641,258645,37220,626,2333,33675
WLTW,115225,WLTW_115225_options.csv,700257,2010-01-04,2019-06-28,2382,699357,437960,469739,424442,353616,233118,233120,23010,2380,2333,33675
WM,111893,WM_111893_options.csv,147006,2017-01-03,2019-06-28,626,147006,126999,147006,146992,126999,73502,73504,8915,626,2333,33675
WMB,112042,WMB_112042_options.csv,423051,2017-01-03,2019-06-28,626,423051,327614,423051,404282,327614,211524,211527,23684,626,2333,33675
WMT,111860,WMT_111860_options.csv,535935,2017-01-03,2019-06-28,626,535935,468243,535935,535906,468243,267968,267967,57787,626,2333,33675
WU,127593,WU_127593_options.csv,97476,2017-01-03,2019-06-28,626,97476,82168,97476,97441,82168,48738,48738,4271,626,2091,30045
WY,112011,WY_112011_options.csv,396490,2017-01-03,2019-06-28,626,396490,326511,396490,395572,326511,198243,198247,25300,626,2333,33675
WYNN,116416,WYNN_116416_options.csv,628036,2017-01-03,2019-06-28,626,628036,555465,628033,627518,555462,314018,314018,42063,626,2333,33675
XEC,116327,XEC_116327_options.csv,1370976,2010-01-04,2019-06-28,476,194682,139650,135985,194672,111740,64894,64894,4764,476,387,5805
XEL,112158,XEL_112158_options.csv,48636,2017-01-03,2019-06-28,626,48636,36152,48636,45782,36152,24318,24318,2061,626,2333,33675
XOM,104533,XOM_104533_options.csv,590254,2017-01-03,2019-06-28,626,590254,485100,590241,567001,485100,295125,295129,59996,626,2091,30045
XRAY,103784,XRAY_103784_options.csv,95344,2017-01-03,2019-06-28,626,95344,82002,95344,93779,82002,47672,47672,4146,626,2333,33675
XRX,112169,XRX_112169_options.csv,179145,2017-01-03,2019-06-28,626,179145,127034,179145,143584,127034,89573,89572,6295,624,2333,33675
XYL,150893,XYL_150893_options.csv,69022,2017-01-03,2019-06-28,626,69022,57472,69022,67959,57472,34510,34512,2911,626,1643,24535
YUM,111206,YUM_111206_options.csv,515126,2017-01-03,2019-06-28,626,515126,401108,515126,466474,401108,257563,257563,54979,626,2091,30045
ZBH,112888,ZBH_112888_options.csv,128448,2017-01-03,2019-06-28,626,128448,110061,128448,127857,110061,64224,64224,5469,626,2091,30045
ZION,112233,ZION_112233_options.csv,154381,2017-01-03,2019-06-28,626,154381,135286,154381,153078,135286,77190,77191,8168,626,2333,33675
ZTS,161291,ZTS_161291_options.csv,458509,2017-01-03,2019-06-28,626,458509,396604,458509,455537,396604,229255,229254,50373,626,1323,18789
