model,horizon,days,mean_daily_pnl,std_daily_pnl,ann_mean_pnl,ann_vol_pnl,sharpe_like,cum_pnl,max_drawdown
ESG-GARCH(E),20,1775,1.1972226863776103,13.620822259076693,301.7001169671578,216.22385009837953,1.395313777041189,2125.0702683202585,-352.6231865337745
ESG-GARCH(E),5,1871,5.0450014402173045,16.73076520585139,1271.3403629347608,265.5926638709709,4.786805269412103,9439.19769464658,-252.04399851708695
ESG-GARCH(G),10,1941,4.004081925434539,21.453455331386643,1009.0286452095038,340.56304541929103,2.962824824305931,7771.923017268427,-311.79993750522
ESG-GARCH(G),20,1788,1.1901618831882066,13.717069455556825,299.92079456342805,217.75172697602113,1.3773520822475744,2128.0094471405137,-348.932783184859
ESG-GARCH(G),5,1860,5.073077173259893,16.683719045843024,1278.415447661493,264.84582923383476,4.827017481679006,9435.923542263394,-251.90941982143886
ESG-GARCH(S),10,1945,4.000714502257744,21.517882327661752,1008.1800545689515,341.58579227846803,2.9514695205679446,7781.389706891311,-312.37268054901233
ESG-GARCH(S),20,1811,1.1615452743819723,13.478741920062456,292.709409144257,213.96839463903902,1.368003015763392,2103.558491905752,-349.28208925562865
ESG-GARCH(S),5,1862,5.035672001731286,16.709441760599663,1268.989344436284,265.2541646715839,4.7840505954258745,9376.421267223654,-252.29226489536995
ESG-GJR-GARCH,10,1959,3.9991049360794633,20.729706963081693,1007.7744438920247,329.073896253349,3.0624563521020045,7834.246569779664,-310.60049245325627
ESG-GJR-GARCH,20,1808,1.209649363099028,13.78512697312628,304.831639500955,218.83210657404425,1.392993214173588,2187.0460484830414,-347.2457649413775
ESG-GJR-GARCH,5,1883,4.961605089082836,16.386482315922304,1250.3244824488747,260.127342426529,4.806586154248738,9342.702382742982,-261.66582238232786
ESG-GJR-GARCH(E),10,1963,4.036531117626445,20.8184021700963,1017.205841641864,330.4818890148132,3.0779473110439337,7923.710583900708,-307.4779899044197
ESG-GJR-GARCH(E),20,1810,1.2103501788031015,13.759701461799311,305.0082450583816,218.42848909447736,1.3963757489823394,2190.733823633615,-347.37170983095325
ESG-GJR-GARCH(E),5,1887,4.992541166613011,16.42522976263929,1258.1203739864786,260.7424390742402,4.825146142121723,9420.925181398758,-262.3304406195748
ESG-GJR-GARCH(G),10,1991,3.993747019003148,20.62022365569921,1006.4242487887933,327.3359026290676,3.07459169833032,7951.55031483527,-307.16279710601384
ESG-GJR-GARCH(G),20,1799,1.2332735312892504,13.849467965822381,310.7849298848911,219.85348816872968,1.4136001774344138,2218.659082789362,-346.44383854648004
ESG-GJR-GARCH(G),5,1909,4.936858368637182,16.30514184272431,1244.08830889657,258.83610244489176,4.806471342850815,9424.462625728387,-261.3208068960121
ESG-GJR-GARCH(S),10,1986,3.9644368064048217,20.606130046416418,999.0380752140151,327.11217351764213,3.0541146312921734,7873.371497519974,-308.17191875779827
ESG-GJR-GARCH(S),20,1815,1.2044567634753447,13.559662199725803,303.52310439578685,215.2529642551051,1.4100763046220781,2186.089025707752,-347.4949487892055
ESG-GJR-GARCH(S),5,1911,4.917351850948572,16.36227274988214,1239.17266643904,259.74302747998263,4.770763929493885,9397.059387162722,-261.53259628781143
GARCH,10,2112,3.9171277520453627,19.753983727632953,987.1161935154314,313.58477007680085,3.147844818081166,8272.973812319808,-294.13078151373156
GARCH,20,1967,1.4527459295472145,17.545882701762384,366.09197424589803,278.5322529718401,1.314361156885161,2857.55124341937,-366.64946372088843
GARCH,5,2020,4.88988505320182,15.525591846038816,1232.2510334068588,246.4611298902655,4.999778398952837,9877.567807467678,-232.62362204488272
GJR-GARCH,10,2088,3.9009237518087696,18.833724258534282,983.03278545581,298.9761038954764,3.2879978454715677,8145.128793776713,-294.03920293265037
GJR-GARCH,20,1953,1.4488448905797697,17.731087408081066,365.108912426102,281.472286539188,1.2971398247239863,2829.5940713022883,-356.35639149431097
GJR-GARCH,5,2009,4.80866615511222,15.338886694307895,1211.7838710882793,243.49727749041793,4.976580779782909,9660.610305620436,-250.00210795530074
