ticker,RIC,esg_lag_year,option_first,first_252_return_date,esg_date,oos_start
KEY,KEY,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
KHC,KHC.O,2016.0,2015-07-07,2016-07-14,2016-01-01,2016-07-14
KIM,KIM,2011.0,1998-06-08,2010-01-12,2011-01-01,2011-01-01
KLAC,KLAC.O,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
KMB,KMB.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
KMI,KMI,2011.0,1997-04-09,2012-02-16,2011-01-01,2012-02-16
KMX,KMX,2010.0,1997-05-12,2010-01-12,2010-01-01,2010-01-12
KO,KO,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
KR,KR,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
KSS,KSS,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
L,L,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
LEN,LEN,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
LH,LH,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
LKQ,LKQ.O,2010.0,2007-11-12,2010-01-12,2010-01-01,2010-01-12
LLY,LLY,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
LMT,LMT,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
LNC,LNC,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
LNT,LNT.O,2010.0,1996-06-10,2010-01-12,2010-01-01,2010-01-12
LOW,LOW,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
LRCX,LRCX.O,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
LUV,LUV,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
LYB,LYB,2010.0,2010-10-18,2011-05-03,2010-01-01,2011-05-03
MA,MA,2010.0,2006-06-05,2010-01-12,2010-01-01,2010-01-12
MAA,MAA,2015.0,2004-01-16,2010-01-12,2015-01-01,2015-01-01
MAC,MAC,2010.0,2003-02-18,2010-01-12,2010-01-01,2010-01-12
MAR,MAR.O,2010.0,1997-08-18,2010-01-12,2010-01-01,2010-01-12
MAS,MAS,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MAT,MAT.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MCD,MCD,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MCHP,MCHP.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MCK,MCK,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MCO,MCO,2010.0,2000-03-20,2010-01-12,2010-01-01,2010-01-12
MDLZ,MDLZ.O,2011.0,2001-06-27,2010-01-12,2011-01-01,2011-01-01
MDT,MDT,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MET,MET,2010.0,1997-03-21,2010-01-12,2010-01-01,2010-01-12
MGM,MGM,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MHK,MHK,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MKC,MKC,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MLM,MLM,2011.0,1997-09-23,2010-01-12,2011-01-01,2011-01-01
MMM,MMM,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MNST,MNST.O,2010.0,2006-07-25,2010-01-12,2010-01-01,2010-01-12
MO,MO,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MOS,MOS,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MPC,MPC,2011.0,2011-07-05,2012-06-28,2011-01-01,2012-06-28
MRK,MRK,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MS,MS,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MSFT,MSFT.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MSI,MSI,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
MTB,MTB,2010.0,1997-08-18,2010-01-12,2010-01-01,2010-01-12
MTD,MTD,2011.0,1998-09-08,2010-01-12,2011-01-01,2011-01-01
MU,MU.O,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
NAVI,NAVI.O,2014.0,2000-04-13,2015-04-29,2014-01-01,2015-04-29
NCLH,NCLH.K,2014.0,2013-02-04,2014-01-28,2014-01-01,2014-01-28
NDAQ,NDAQ.O,2010.0,2005-04-26,2010-01-12,2010-01-01,2010-01-12
NEE,NEE,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
NEM,NEM,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
NFLX,NFLX.O,2011.0,2002-11-19,2010-01-12,2011-01-01,2011-01-01
NI,NI,2010.0,1997-01-27,2010-01-12,2010-01-01,2010-01-12
NKE,NKE,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
NLSN,NLSN.W^E14,2009.0,2011-02-03,2013-03-27,2009-01-01,2013-03-27
NOC,NOC,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
NOV,NOV,2011.0,1997-10-03,2010-01-12,2011-01-01,2011-01-01
NRG,NRG,2010.0,2000-09-08,2010-01-12,2010-01-01,2010-01-12
NSC,NSC,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
NTAP,NTAP.O,2010.0,1996-11-07,2010-01-12,2010-01-01,2010-01-12
NTRS,NTRS.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
NUE,NUE,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
NVDA,NVDA.O,2010.0,1999-07-28,2010-01-12,2010-01-01,2010-01-12
NWL,NWL.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
