ticker,input_ric,instrument_id,organization_id,historical_rics,historical_ric_count,identity_change_flag,delisted_flag,legacy_ticker_flag,likely_corporate_action_flag,treatment,notes
GILD,GILD.O,8590943500.0,,GILD.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GIS,GIS,8590933269.0,,GIS.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GLW,GLW,8590935083.0,,GLW.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GM,GM,21475029760.0,,GM.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GOOG,GOOG.O,21538366476.0,,GOOCV.OQ;GOOG.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
GOOGL,GOOGL.O,8590925559.0,,GOOG.OQ;GOOGL.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
GPC,GPC,8590943280.0,,GPC.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GPN,GPN,8590940339.0,,GPN.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GPS,1GPSZ1m,21848383697.0,,,0,False,False,False,False,KEEP_HISTORICAL_ENTITY,
GRMN,GRMN.K,8590943622.0,,GRMN.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GS,GS,8590942442.0,,GS.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GT,GT.O,8590931629.0,,GT.N;GT.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
GWW,GWW,8590937469.0,,GWW.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HAL,HAL,8590930194.0,,HAL.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HAS,HAS.O,8590939322.0,,HAS.N;HAS.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
HBAN,HBAN.O,8590927532.0,,HBAN.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HBI,01HIBQ5,21828662358.0,,,0,False,False,False,False,KEEP_HISTORICAL_ENTITY,
HCA,HCA,21475752423.0,,HCA.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HCP,HCP.B^J07,8590922900.0,,HCP.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
HD,HD,8590925665.0,,HD.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HES,HES.PH^B09,8590922193.0,,AHC.N;HES.N,2,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
HIG,HIG,8590941149.0,,HIG.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HII,HII,21475789382.0,,HII_w.N;HII.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
HLT,HLT,21529510964.0,,HLT.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HOG,HOG,8590929636.0,,HDI.N;HOG.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
HOLX,HOLX.B^J07,8590933130.0,,HOLX.OQ,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
HON,HON.O,8590935517.0,,HON.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HP,HP,8590931772.0,,HP.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HPE,HPE,21573826933.0,,HPE_w.N;HPE.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
HPQ,HPQ,8590926177.0,,HPQ.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HRB,HRB,8590928560.0,,HRB.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HRL,HRL,8590933822.0,,HRL.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HSIC,HSIC.O,8590931645.0,,HSIC.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HST,HST.O,8590929798.0,,HMT.N;HST.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
HSY,HSY,8590927363.0,,HSY.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
HUM,HUM,8590929348.0,,HUM.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
IBM,IBM,8590927768.0,,IBM.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ICE,ICE,8590919695.0,,ICE.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
IDXX,IDXX.O,8590941770.0,,IDXX.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
IFF,IFF,8590943307.0,,IFF.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ILMN,ILMN.O,8590932338.0,,ILMN.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
INCY,INCY.O,8590927197.0,,INCY.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
INFO,INFO.K,18040302505.0,,,0,False,False,False,False,KEEP_HISTORICAL_ENTITY,
INTC,INTC.O,8590927847.0,,INTC.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
INTU,INTU.O,8590926231.0,,INTU.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
IP,IP,8590931669.0,,IP.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
IPG,IPG.PH^B09,8590920171.0,,IPG.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
IPGP,IPGP.O,8590937626.0,,IPGP.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
IQV,IQV,21519452836.0,,Q.N;IQV.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
IR,IR,21612250250.0,,GDI.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
IRM,IRM,8590924557.0,,IRM.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ISRG,ISRG.O,8590938471.0,,ISRG.OQ;ISRGD.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
IT,IT,8590922691.0,,IT.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ITW,ITW,8590941206.0,,ITW.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
IVZ,IVZ,8590924926.0,,AVZ.N;IVZ.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
JBHT,JBHT.O,8590934294.0,,JBHT.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
JCI,JCI,8590923047.0,,TYC.N;JCI.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
JEC,JEC.B^J07,8590928788.0,,JEC.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
JEF,JEF,8590932665.0,,LUK.N;JEF.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
JNJ,JNJ,8590923462.0,,JNJ.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
JNPR,JNPR.W^E14,8590922040.0,,JNPR.OQ;JNPR.N,2,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
JPM,JPM,8590935416.0,,JPM.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
JWN,JWN.PH^B09,8590943967.0,,JWN.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
K,K.B^J07,8590930662.0,,K.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
KEY,KEY,8590935327.0,,KEY.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KHC,KHC.O,21566906309.0,,KHC.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KIM,KIM,8590937121.0,,KIM.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KLAC,KLAC.O,8590942124.0,,KLAC.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KMB,KMB.O,8590920512.0,,KMB.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KMI,KMI,21475147580.0,,KMI.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KMX,KMX,8590943099.0,,KMX.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KO,KO,8590941073.0,,KO.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KR,KR,8590932158.0,,KR.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KSS,KSS,8590933741.0,,KSS.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
KSU,KSU.B^J07,8590920327.0,,KSU.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
L,L,8590921044.0,,LTR.N;L.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
LB,LB,232848940358.0,,,0,False,False,False,False,KEEP_HISTORICAL_ENTITY,
LEG,LEG.PH^B09,8590937493.0,,LEG.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
LEN,LEN,8590920235.0,,LEN.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
LH,LH,8590925535.0,,LH.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
LKQ,LKQ.O,8590922915.0,,LKQX.OQ;LKQ.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
LLY,LLY,8590943610.0,,LLY.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
LMT,LMT,8590933196.0,,LMT.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
LNC,LNC,8590938671.0,,LNC.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
LNT,LNT.O,8590934693.0,,LNT.N;LNT.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
LOW,LOW,8590926020.0,,LOW.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
