ticker,RIC,status,notes,TR.RIC,TR.CommonName,TR.ExchangeName,TR.TickerSymbol,TR.ISIN,TR.IssuerOAPermID
TGT,TGT,REFERENCE_OK,,,,,,,
TIF,TIF.PH^B09,REFERENCE_OK,,,,,,,
TJX,TJX,REFERENCE_OK,,,,,,,
TMO,TMO,REFERENCE_OK,,,,,,,
TPR,TPR,REFERENCE_OK,,,,,,,
TRIP,TRIP.O,REFERENCE_OK,,,,,,,
TROW,TROW.O,REFERENCE_OK,,,,,,,
TRV,TRV,REFERENCE_OK,,,,,,,
TSCO,TSCO.O,REFERENCE_OK,,,,,,,
TSN,TSN,REFERENCE_OK,,,,,,,
TSS,TSS.W^E14,REFERENCE_OK,,,,,,,
TWX,TWX.N^F18,REFERENCE_OK,,,,,,,
TXN,TXN.O,REFERENCE_OK,,,,,,,
TXT,TXT,REFERENCE_OK,,,,,,,
UAA,UAA,REFERENCE_OK,,,,,,,
UAL,UAL.O,REFERENCE_OK,,,,,,,
UDR,UDR,REFERENCE_OK,,,,,,,
UHS,UHS,REFERENCE_OK,,,,,,,
ULTA,ULTA.O,REFERENCE_OK,,,,,,,
UNH,UNH,REFERENCE_OK,,,,,,,
UNM,UNM,REFERENCE_OK,,,,,,,
UNP,UNP,REFERENCE_OK,,,,,,,
UPS,UPS,REFERENCE_OK,,,,,,,
URI,URI,REFERENCE_OK,,,,,,,
USB,USB,REFERENCE_OK,,,,,,,
UTX,UTX.PH^B09,REFERENCE_OK,,,,,,,
V,V,REFERENCE_OK,,,,,,,
VAR,VAR.B^J07,REFERENCE_OK,,,,,,,
VFC,VFC,REFERENCE_OK,,,,,,,
VIAB,VIAB.W^E14,REFERENCE_OK,,,,,,,
VLO,VLO,REFERENCE_OK,,,,,,,
VMC,VMC,REFERENCE_OK,,,,,,,
VNO,VNO,REFERENCE_OK,,,,,,,
VRSK,VRSK.O,REFERENCE_OK,,,,,,,
VRSN,VRSN.O,REFERENCE_OK,,,,,,,
VRTX,VRTX.O,REFERENCE_OK,,,,,,,
VTR,VTR,REFERENCE_OK,,,,,,,
VZ,VZ,REFERENCE_OK,,,,,,,
WAT,WAT,REFERENCE_OK,,,,,,,
WBA,WBA.AX^B20,REFERENCE_OK,,,,,,,
WDC,WDC.O,REFERENCE_OK,,,,,,,
WEC,WEC,REFERENCE_OK,,,,,,,
WELL,WELL.K,REFERENCE_OK,,,,,,,
WFC,WFC,REFERENCE_OK,,,,,,,
WHR,WHR,REFERENCE_OK,,,,,,,
WLTW,WTW.O,REFERENCE_OK,,,,,,,
WM,WM,REFERENCE_OK,,,,,,,
WMB,WMB,REFERENCE_OK,,,,,,,
WMT,WMT.O,REFERENCE_OK,,,,,,,
WRK,01WRKH3^1,REFERENCE_OK,,,,,,,
WU,WU,REFERENCE_OK,,,,,,,
WY,WY,REFERENCE_OK,,,,,,,
WYND,WYNDZ3^1,REFERENCE_OK,,,,,,,
WYNN,WYNN.O,REFERENCE_OK,,,,,,,
XEC,XEC.W^E14,REFERENCE_OK,,,,,,,
XEL,XEL.O,REFERENCE_OK,,,,,,,
XL,0#XLW+,REFERENCE_OK,,,,,,,
XLNX,XLNX.B^J07,REFERENCE_OK,,,,,,,
XOM,XOM,REFERENCE_OK,,,,,,,
XRAY,XRAY.O,REFERENCE_OK,,,,,,,
XRX,XRX.O,REFERENCE_OK,,,,,,,
XYL,XYL,REFERENCE_OK,,,,,,,
YUM,YUM,REFERENCE_OK,,,,,,,
ZBH,ZBH,REFERENCE_OK,,,,,,,
ZION,ZION.O,REFERENCE_OK,,,,,,,
ZTS,ZTS,REFERENCE_OK,,,,,,,
