ticker,RIC,price_obs,price_first,price_last
KLAC,KLAC.O,2640,2009-01-02,2019-06-28
KMB,KMB.O,2640,2009-01-02,2019-06-28
KMI,KMI,2108,2011-02-11,2019-06-28
KMX,KMX,2640,2009-01-02,2019-06-28
KO,KO,2640,2009-01-02,2019-06-28
KR,KR,2640,2009-01-02,2019-06-28
KSS,KSS,2640,2009-01-02,2019-06-28
KSU,KSU.B^J07,0,,
L,L,2640,2009-01-02,2019-06-28
LB,LB,0,,
LEG,LEG.PH^B09,0,,
LEN,LEN,2640,2009-01-02,2019-06-28
LH,LH,2640,2009-01-02,2019-06-28
LKQ,LKQ.O,2640,2009-01-02,2019-06-28
LLY,LLY,2640,2009-01-02,2019-06-28
LMT,LMT,2640,2009-01-02,2019-06-28
LNC,LNC,2640,2009-01-02,2019-06-28
LNT,LNT.O,2640,2009-01-02,2019-06-28
LOW,LOW,2640,2009-01-02,2019-06-28
LRCX,LRCX.O,2640,2009-01-02,2019-06-28
LUV,LUV,2640,2009-01-02,2019-06-28
LYB,LYB,2309,2010-04-28,2019-06-28
MA,MA,2640,2009-01-02,2019-06-28
MAA,MAA,2640,2009-01-02,2019-06-28
MAC,MAC,2640,2009-01-02,2019-06-28
MAR,MAR.O,2640,2009-01-02,2019-06-28
MAS,MAS,2640,2009-01-02,2019-06-28
MAT,MAT.O,2640,2009-01-02,2019-06-28
MCD,MCD,2640,2009-01-02,2019-06-28
MCHP,MCHP.O,2640,2009-01-02,2019-06-28
MCK,MCK,2640,2009-01-02,2019-06-28
MCO,MCO,2640,2009-01-02,2019-06-28
MDLZ,MDLZ.O,2640,2009-01-02,2019-06-28
MDT,MDT,2640,2009-01-02,2019-06-28
MET,MET,2640,2009-01-02,2019-06-28
MGM,MGM,2640,2009-01-02,2019-06-28
MHK,MHK,2640,2009-01-02,2019-06-28
MKC,MKC,2640,2009-01-02,2019-06-28
MLM,MLM,2640,2009-01-02,2019-06-28
MMC,0#MCM:,0,,
MMM,MMM,2640,2009-01-02,2019-06-28
MNST,MNST.O,2640,2009-01-02,2019-06-28
MO,MO,2640,2009-01-02,2019-06-28
MON,MON.PH^B09,0,,
MOS,MOS,2640,2009-01-02,2019-06-28
MPC,MPC,2017,2011-06-23,2019-06-28
MRK,MRK,2640,2009-01-02,2019-06-28
MRO,MRO.PH^B09,0,,
MS,MS,2640,2009-01-02,2019-06-28
MSFT,MSFT.O,2640,2009-01-02,2019-06-28
MSI,MSI,2640,2009-01-02,2019-06-28
MTB,MTB,2640,2009-01-02,2019-06-28
MTD,MTD,2640,2009-01-02,2019-06-28
MU,MU.O,2640,2009-01-02,2019-06-28
MYL,MYL.TH^L08,0,,
NAVI,NAVI.O,1309,2014-04-17,2019-06-28
NBL,NBL.PH^B09,0,,
NCLH,NCLH.K,1622,2013-01-18,2019-06-28
NDAQ,NDAQ.O,2640,2009-01-02,2019-06-28
NEE,NEE,2640,2009-01-02,2019-06-28
NEM,NEM,2640,2009-01-02,2019-06-28
NFLX,NFLX.O,2640,2009-01-02,2019-06-28
NFX,NFX,0,,
NI,NI,2640,2009-01-02,2019-06-28
NKE,NKE,2640,2009-01-02,2019-06-28
NLSN,NLSN.W^E14,513,2011-02-08,2014-04-29
NOC,NOC,2640,2009-01-02,2019-06-28
NOV,NOV,2640,2009-01-02,2019-06-28
NRG,NRG,2640,2009-01-02,2019-06-28
NSC,NSC,2640,2009-01-02,2019-06-28
NTAP,NTAP.O,2640,2009-01-02,2019-06-28
NTRS,NTRS.O,2640,2009-01-02,2019-06-28
NUE,NUE,2640,2009-01-02,2019-06-28
NVDA,NVDA.O,2640,2009-01-02,2019-06-28
NWL,NWL.O,2640,2009-01-02,2019-06-28
NWSA,NWSA.O,1518,2013-06-19,2019-06-28
O,O,2640,2009-01-02,2019-06-28
OKE,OKE,2640,2009-01-02,2019-06-28
OMC,OMC,2640,2009-01-02,2019-06-28
ORCL,ORCL.K,2640,2009-01-02,2019-06-28
ORLY,ORLY.O,2640,2009-01-02,2019-06-28
OXY,OXY,2640,2009-01-02,2019-06-28
PAYX,PAYX.O,2640,2009-01-02,2019-06-28
PBCT,PBCT.B^J07,0,,
PCAR,PCAR.O,2640,2009-01-02,2019-06-28
PCG,PCG,2640,2009-01-02,2019-06-28
PDCO,PDCO.B^J07,0,,
PEG,PEG,2640,2009-01-02,2019-06-28
PEP,PEP.O,2640,2009-01-02,2019-06-28
PFE,PFE,2640,2009-01-02,2019-06-28
PFG,PFG.O,2640,2009-01-02,2019-06-28
PG,PG,2640,2009-01-02,2019-06-28
PGR,PGR,2640,2009-01-02,2019-06-28
PH,PH,2640,2009-01-02,2019-06-28
PHM,PHM,2640,2009-01-02,2019-06-28
PKG,PKG,2640,2009-01-02,2019-06-28
PKI,PKI.B^J07,0,,
PLD,PLD,2640,2009-01-02,2019-06-28
PM,PM,2640,2009-01-02,2019-06-28
PNC,PNC,2640,2009-01-02,2019-06-28
PNR,PNR,2640,2009-01-02,2019-06-28
PNW,PNW,2640,2009-01-02,2019-06-28
PPG,PPG,2640,2009-01-02,2019-06-28
PPL,PPL,2640,2009-01-02,2019-06-28
PRGO,PRGO.K,2640,2009-01-02,2019-06-28
PRU,PRU,2640,2009-01-02,2019-06-28
PSA,PSA,2640,2009-01-02,2019-06-28
PSX,PSX,1815,2012-04-12,2019-06-28
