ticker,rows,first_date,last_date,universe_source,status
INCY,797680,19960926,20190628,raw_options,PENDING_LSEG_RECONCILIATION
INFO,95160,20140627,20190628,raw_options,PENDING_LSEG_RECONCILIATION
INTC,1974206,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
INTU,957255,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IP,1485148,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IPG,583316,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IPGP,376662,20070425,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IQV,226223,20130606,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IR,912674,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IRM,495760,19980514,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ISRG,3533410,20010724,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IT,360768,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ITW,985121,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IVZ,440221,20070221,20190628,raw_options,PENDING_LSEG_RECONCILIATION
JBHT,476675,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
JCI,1154708,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
JEC,578964,19990107,20190628,raw_options,PENDING_LSEG_RECONCILIATION
JEF,494849,19970604,20190628,raw_options,PENDING_LSEG_RECONCILIATION
JNJ,1778893,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
JNPR,1608058,19991007,20190628,raw_options,PENDING_LSEG_RECONCILIATION
JPM,2253051,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
JWN,906390,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
K,714059,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KEY,824397,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KHC,309819,20150707,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KIM,249109,19980608,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KLAC,1081974,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KMB,1072914,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KMI,1111329,19970409,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KMX,995511,19970512,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KO,1681071,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KR,922547,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KSS,1228816,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
KSU,1322117,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
L,566012,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LB,1154605,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LEG,277449,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LEN,1002721,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LH,720131,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LKQ,234192,20071112,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LLY,1732827,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LMT,1532512,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LNC,700498,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LNT,212962,19960610,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LOW,1445730,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LRCX,1493215,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LUV,1375699,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
LYB,990586,20101018,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MA,2487737,20060605,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MAA,337007,20040116,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MAC,361836,20030218,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MAR,1284770,19970818,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MAS,672039,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MAT,1062647,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MCD,1727092,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MCHP,800440,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MCK,1438750,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MCO,770771,20000320,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MDLZ,1167689,20010627,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MDT,1820864,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MET,1551044,19970321,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MGM,1488983,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MHK,791348,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MKC,346031,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MLM,761284,19970923,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MMC,596937,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MMM,1830319,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MNST,1309537,20060725,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MO,1772661,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MON,1457458,19960104,20180606,raw_options,PENDING_LSEG_RECONCILIATION
MOS,1562075,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MPC,1272026,20110705,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MRK,1804497,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MRO,1456879,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MS,1737928,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MSFT,2350128,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MSI,973196,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MTB,626001,19970818,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MTD,435609,19980908,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MU,1863199,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
MYL,1226543,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NAVI,139815,20000413,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NBL,772899,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NCLH,225178,20130204,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NDAQ,609025,20050426,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NEE,743996,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NEM,1788583,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NFLX,3638234,20021119,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NFX,817235,19970214,20190213,raw_options,PENDING_LSEG_RECONCILIATION
NI,491228,19970127,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NKE,1754328,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NLSN,335431,20110203,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NOC,1471651,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NOV,1598285,19971003,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NRG,907348,20000908,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NSC,1597833,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NTAP,1840776,19961107,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NTRS,506388,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NUE,1623884,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
