ticker,rows,first_date,last_date,universe_source,status,RIC,DocumentTitle,mapping_status
CTSH,1502634,20020408,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CTSH.O,"Cognizant Technology Solutions Corporation, Ordinary Share, Class A, NASDAQ Global Select Consolidated",MAPPED
CTXS,1093221,19960612,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CTXS.B^J07,"Citrix Systems Ord Shs, Ordinary Share, Delisted, Boston SE when trading NASDAQ Global Select Market",MAPPED
CVS,1641485,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CVS,"CVS Health Corporation, Ordinary Share, NYSE Consolidated",MAPPED
CVX,1891349,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CVX,"Chevron Corp, Ordinary Share, NYSE Consolidated",MAPPED
CXO,593647,20071025,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CXO.PH^B09,"Concho Resources Ord Shs, Ordinary Share, Delisted, NASDAQ OMX PSX",MAPPED
D,633668,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,D,"Dominion Energy, Inc., Ordinary Share, NYSE Consolidated",MAPPED
DAL,1306590,20070504,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DAL,"Delta Air Lines, Inc., Ordinary Share, NYSE Consolidated",MAPPED
DE,1778482,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DE,"Deere & Co, Ordinary Share, NYSE Consolidated",MAPPED
DFS,1211933,20070702,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DFS.B^J07,"Discover Financial Services Ord Shs, Ordinary Share, Delisted, Boston Stock Exchange Inc",MAPPED
DG,1418128,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DG,"Dollar General Corp, Ordinary Share, NYSE Consolidated",MAPPED
DGX,603442,19970122,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DGX,"Quest Diagnostics Inc, Ordinary Share, NYSE Consolidated",MAPPED
DHI,1451543,19970312,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DHI,"D.R. Horton, Inc., Ordinary Share, NYSE Consolidated",MAPPED
DHR,850508,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DHR,"Danaher Corporation, Ordinary Share, NYSE Consolidated",MAPPED
DIS,1839342,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DIS,"The Walt Disney Company, Ordinary Share, NYSE Consolidated",MAPPED
DISCA,287553,20050722,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DISCA.B^J07,"Warner Bros. Discovery Ord Shs Series A, Ordinary Share, Delisted, Boston SE when trading NASDAQ Global Select Market",MAPPED
DISCK,204264,20090828,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DISCK.A^H14,"Discovery Ord Shs Series C, Ordinary Share, Delisted, NYSE American when trading NASDAQ Global Select Mkt",MAPPED
DISH,1771859,19960507,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DISH.B^J07,"DISH Network Ord Shs Class A, Ordinary Share, Delisted, Boston SE when trading NASDAQ Global Select Market",MAPPED
DLR,361457,20061127,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DLR,"Digital Realty Trust, Inc., Ordinary Share, NYSE Consolidated",MAPPED
DLTR,1176543,19961023,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DLTR.O,"Dollar Tree Inc, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
DOV,605958,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DOV,"Dover Corp, Ordinary Share, NYSE Consolidated",MAPPED
DRE,290161,19980513,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DRE.PH^B09,"Duke Realty REIT Ord Shs, Ordinary Share, Delisted, NASDAQ OMX PSX",MAPPED
DRI,748302,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DRI,"Darden Restaurants Inc, Ordinary Share, NYSE Consolidated",MAPPED
DTE,382607,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DTE,"DTE Energy Company, Ordinary Share, NYSE Consolidated",MAPPED
DUK,757776,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DUK,"Duke Energy Corp, Ordinary Share, NYSE Consolidated",MAPPED
DVA,555326,19971029,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DVA,"DaVita Inc, Ordinary Share, NYSE Consolidated",MAPPED
DVN,1529374,19960509,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DVN,"Devon Energy Corporation, Ordinary Share, NYSE Consolidated",MAPPED
DXC,900013,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DXC,"DXC Technology Company, Ordinary Share, NYSE Consolidated",MAPPED
EA,1791643,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EA.W^E14,"Electronic Arts Ord Shs, Ordinary Share, Delisted, CBOE when trading NASDAQ Global Select Market",MAPPED
EBAY,1642807,19990201,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EBAY.O,"eBay Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
ECL,614646,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ECL,"Ecolab Inc., Ordinary Share, NYSE Consolidated",MAPPED
ED,788069,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ED,"Consolidated Edison, Inc., Ordinary Share, NYSE Consolidated",MAPPED
EFX,722327,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EFX,"Equifax Inc., Ordinary Share, NYSE Consolidated",MAPPED
EIX,583290,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EIX,"Edison International, Ordinary Share, NYSE Consolidated",MAPPED
EL,700032,19960227,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EL,"Estee Lauder Companies Inc, Ordinary Share, Class A, NYSE Consolidated",MAPPED
EMN,789018,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EMN,"Eastman Chemical Co, Ordinary Share, NYSE Consolidated",MAPPED
EMR,996311,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EMR,"Emerson Electric Co, Ordinary Share, NYSE Consolidated",MAPPED
EOG,1815765,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EOG,"EOG Resources, Inc., Ordinary Share, NYSE Consolidated",MAPPED
EQIX,1013935,20060404,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EQIX.O,"Equinix, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
EQR,451011,19970312,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EQR.PH^B09,"Vivmark Residential Ord Shs, Ordinary Share, Delisted, NASDAQ OMX PSX",MAPPED
EQT,501951,19981007,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EQT,"EQT Corporation, Ordinary Share, NYSE Consolidated",MAPPED
ES,284657,19960129,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ESc1,"CME Index and Options Market S&P 500 E-Mini Index Future Continuation Month 1, Stock Index Future, USD, CME:Index and Options Market",MAPPED
ESRX,1630786,19980908,20181220,raw_options,PENDING_LSEG_RECONCILIATION,ESRX.B^J07,"Express Scripts Holding Ord Shs, Ordinary Share, Delisted, Boston SE when trading NASDAQ Global Select Market",MAPPED
ESS,521413,19980219,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ESS,"Essex Property Trust, Inc., Ordinary Share, NYSE Consolidated",MAPPED
