ticker,rows,first_date,last_date,RIC,price_first,price_last,esg_first_date,esg_last_date,esg_obs,E_nonnull,S_nonnull,G_nonnull,first_year_with_lagged_esg,option_first,option_last,backtest_start,backtest_end,eligibility
EXPE,1460997,20050810,20190628,EXPE.O,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,2005-08-10,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
EXR,234409,20080512,20190628,EXR,2009-01-02,2019-06-28,2014-12-31,2019-12-31,6,6,6,6,2015.0,2008-05-12,2019-06-28,2015-01-01,2019-06-28,ELIGIBLE_345
F,1519696,19960104,20190628,F,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
FAST,812671,19960104,20190628,FAST.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
FBHS,172137,20111005,20190628,FBHS.W^E14,2011-10-05,2014-04-30,2010-12-31,2018-12-31,9,8,8,8,2011.0,2011-10-05,2019-06-28,2011-10-05,2019-06-28,ELIGIBLE_345
FCX,1814832,19960104,20190628,FCX,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
FDX,1794359,19960104,20190628,FDX,2009-01-02,2019-06-28,2008-05-31,2017-05-31,10,10,10,10,2009.0,1996-01-04,2019-06-28,2009-01-02,2019-06-28,ELIGIBLE_345
FE,671666,19960104,20190628,FE,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
FFIV,1662875,19991209,20190628,FFIV.O,2009-01-02,2019-06-28,2010-09-30,2019-09-30,10,10,10,10,2011.0,1999-12-09,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
FIS,437463,20010709,20190628,FIS,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2001-07-09,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
FISV,493053,19960104,20190628,FISV.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
FITB,753530,19960104,20190628,FITB.K,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
FLR,1390343,20001222,20190628,FLR,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2000-12-22,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
FLS,457665,19960904,20190628,FLS,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-09-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
FMC,449509,19960104,20190628,FMC,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
FRT,344311,20080911,20190628,FRT,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2008-09-11,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
FTI,143876,20170117,20190628,FTI,2017-01-17,2019-06-28,2017-12-31,2019-12-31,3,3,3,3,2018.0,2017-01-17,2019-06-28,2018-01-01,2019-06-28,ELIGIBLE_345
FTV,183839,20160706,20190628,FTV,2016-06-13,2019-06-28,2015-12-31,2017-12-31,4,2,2,2,2016.0,2016-07-06,2019-06-28,2016-07-06,2019-06-28,ELIGIBLE_345
GD,1204712,19960104,20190628,GD,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
GE,1783401,19960104,20190628,GE,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
